model category,test category,all words,emotions only,exclude emotions,review length,sentence length,part of speech
All Categories,All Categories,80.9,78.3,81.0,79.3,79.9,77.4
Amazon Instant Video,Amazon Instant Video,89.9,88.7,89.7,90.6,89.5,89.2
Apps for Android,Apps for Android,89.6,89.6,89.6,89.4,89.3,89.6
Automotive,Automotive,85.9,86.1,85.9,85.9,86.4,86.3
Baby,Baby,79.2,77.2,79.0,78.4,78.3,77.2
Beauty,Beauty,81.7,81.0,81.1,80.8,81.5,81.2
Books,Books,77.0,73.8,77.0,73.7,72.8,72.8
CDs and Vinyl,CDs and Vinyl,68.8,61.1,68.4,66.7,66.4,65.3
Cell Phones and Accessories,Cell Phones and Accessories,86.1,84.2,85.9,86.5,86.5,85.4
Clothing Shoes and Jewelry,Clothing Shoes and Jewelry,86.7,86.7,86.7,87.2,86.8,86.7
Digital Music,Digital Music,63.4,59.7,65.8,60.6,61.5,61.1
Electronics,Electronics,74.0,65.2,73.7,72.5,71.5,71.8
Grocery and Gourmet Food,Grocery and Gourmet Food,79.2,79.0,79.4,78.8,78.9,79.1
Health and Personal Care,Health and Personal Care,83.7,82.3,83.3,83.2,83.6,82.4
Home and Kitchen,Home and Kitchen,75.0,74.0,75.3,75.6,75.0,74.7
Kindle Store,Kindle Store,78.7,78.6,78.2,78.0,78.4,78.9
Movies and TV,Movies and TV,76.6,73.1,76.4,72.9,74.0,72.0
Musical Instruments,Musical Instruments,85.4,84.8,85.6,86.0,86.3,84.9
Office Products,Office Products,83.9,83.7,83.7,84.3,83.6,83.7
Patio Lawn and Garden,Patio Lawn and Garden,79.8,78.8,79.9,78.6,78.5,78.7
Pet Supplies,Pet Supplies,85.8,85.9,85.8,86.5,86.5,85.9
Sports and Outdoors,Sports and Outdoors,85.9,86.0,86.1,86.0,86.0,86.0
Tools and Home Improvement,Tools and Home Improvement,75.1,69.0,74.8,73.9,73.4,70.1
Toys and Games,Toys and Games,77.0,75.6,77.1,76.6,76.2,76.1
Video Games,Electronics,67.5,67.0,67.5,67.0,68.5,67.3
Video Games,Video Games,71.5,69.8,71.5,69.8,70.0,69.0
